slice,signal_type,parent_signal_id,pathway,ligand,receptor,sender_region,receiver_region,downstreamTF,direction
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Zfp574,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Zscan12,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Tfap2a,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Zfp41,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Zfp787,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna3,Epithelial,Epithelial,Zfp300,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna3,Epithelial,Epithelial,Zeb1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna3,Epithelial,Epithelial,Zeb2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna3,Epithelial,Epithelial,Etv1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Foxc1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Acaa1b,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Kmt2b,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Hinfp,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Pparg,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Zbtb7c,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Zfp521,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Grhl1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Zfp667,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Zfp811,activation
